,City,Country,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
435,Lypnyazhka,UA,73,85,48.45,31.08,41.5,11.43
436,Båtsfjord,NO,74,20,70.63,29.72,35.6,25.28
437,Krieglach,AT,70,96,47.53,15.55,48.0,3.36
438,Les Cayes,HT,72,31,18.2,-73.75,81.79,6.44
439,Skjervøy,NO,89,100,70.03,20.97,32.0,7.54
440,Ponta Delgada,PT,67,20,37.73,-25.67,57.2,17.22
441,Tokmak,UA,60,97,47.25,35.71,44.26,7.63
442,Coari,BR,85,100,-4.08,-63.14,82.27,2.42
443,Pīpri,IN,17,24,19.8,75.53,84.18,6.15
444,Tazmalt,DZ,82,94,36.39,4.4,66.2,2.24
445,Sørland,NO,79,75,67.67,12.69,32.0,4.7
446,Namatanai,PG,75,100,-3.67,152.43,81.14,2.66
447,Vestmannaeyjar,IS,74,71,63.44,-20.27,39.96,17.58
448,Severomuysk,RU,66,0,56.15,113.43,18.93,1.68
449,Itupiranga,BR,70,75,-5.13,-49.33,86.0,4.7
450,Bogatyye Saby,RU,89,100,56.01,50.45,38.39,23.11
451,Goderich,CA,59,39,43.75,-81.72,39.0,7.56
452,Morondava,MG,77,3,-20.28,44.28,79.74,8.16
453,Constitución,CL,62,100,-35.33,-72.42,60.46,5.91
454,Galveston,US,45,1,29.37,-94.97,71.01,13.87
455,Winnemucca,US,26,75,40.97,-117.74,60.8,17.22
456,Merauke,ID,90,100,-8.47,140.33,77.45,7.87
457,Nova Soure,BR,61,44,-11.23,-38.48,80.83,8.32
458,Belyy Yar,RU,61,97,53.6,91.39,50.0,6.71
459,Marsh Harbour,BS,76,79,26.54,-77.06,79.81,14.07
460,Tevaitoa,PF,66,49,-16.78,-151.5,83.97,8.59
461,Dessau,DE,77,16,51.84,12.25,52.0,4.7
462,Mayumba,GA,88,100,-3.43,10.66,82.13,7.18
463,May Pen,JM,66,40,17.96,-77.25,86.0,21.92
464,Chokwé,MZ,90,56,-24.53,32.98,71.73,3.96
465,Zharkent,KZ,56,100,44.16,80.0,47.46,6.93
466,Acapulco de Juárez,MX,78,20,16.86,-99.89,82.4,10.29
467,Avera,US,43,40,33.19,-82.53,71.01,3.36
468,Clevelândia,BR,54,0,-26.4,-52.47,52.48,3.53
469,Kayes,ML,36,4,14.0,-11.0,89.06,10.25
470,Cockburn Town,TC,70,40,21.46,-71.14,86.0,16.11
471,Saint-Leu,RE,73,0,-21.15,55.28,75.2,6.93
472,Turki,RU,80,33,51.99,43.27,34.92,10.76
473,Jacareacanga,BR,94,75,-6.22,-57.75,78.8,2.24
474,La Tuque,CA,84,100,47.43,-72.78,31.48,9.91
475,Smidovich,RU,68,0,48.6,133.82,38.71,6.87
476,Wanning,CN,81,93,18.8,110.4,71.74,4.14
477,Lata,PT,67,40,40.16,-8.33,60.8,11.41
478,Carauari,BR,66,96,-4.88,-66.9,84.13,1.52
479,Haines Junction,CA,66,97,60.75,-137.51,43.3,6.51
480,Houlton,US,33,90,46.13,-67.84,45.0,14.99
481,Greci,RO,41,56,45.18,28.23,46.0,1.12
482,Yemtsa,RU,95,100,63.07,40.33,32.36,9.1
483,Vanimo,PG,83,46,-2.67,141.3,79.5,4.83
484,Antalaha,MG,82,11,-14.9,50.28,76.5,11.23
485,Scarborough,GB,57,63,54.28,-0.4,57.2,2.24
486,Bataiporã,BR,55,0,-22.3,-53.27,63.81,5.06
487,Catió,GW,65,44,11.28,-15.25,79.74,12.33
488,Hastings,GB,81,0,50.86,0.57,52.0,11.41
489,Chipata,ZM,65,23,-13.63,32.65,65.16,4.92
490,Seoul,KR,65,1,37.57,126.98,48.2,3.0
491,Maragogi,BR,77,7,-9.01,-35.22,81.27,7.92
492,Saint Anthony,US,56,90,45.02,-93.22,35.01,10.29
493,Katobu,ID,94,98,-4.94,122.53,74.46,3.91
494,Agboville,CI,89,98,5.93,-4.21,78.42,2.57
495,Werda,BW,18,0,-25.27,23.28,65.07,5.68
496,Ozernovskiy,RU,92,100,51.5,156.52,31.32,9.69
497,Benguela,AO,84,5,-12.58,13.41,78.6,3.76
498,Otradnoye,RU,97,25,59.78,30.82,32.0,6.71
499,Paka,MY,94,84,4.64,103.44,77.0,4.81
500,Lamin,GM,57,0,13.35,-16.43,78.8,13.87
501,Laguna,US,31,1,38.42,-121.42,80.01,3.36
502,Nome,US,97,90,64.5,-165.41,34.0,5.82
503,Usogorsk,RU,82,98,63.41,48.69,35.55,14.23
504,Mazatlán,MX,32,5,23.22,-106.42,80.6,8.05
505,Grand Gaube,MU,83,40,-20.01,57.66,78.8,16.11
506,Stephenville,US,38,1,32.22,-98.2,64.99,5.75
507,Tornio,FI,99,75,65.85,24.15,32.0,2.24
508,Solnechnyy,RU,75,0,50.72,136.63,33.13,1.32
509,Sayyan,YE,36,75,15.17,44.32,61.38,3.0
510,Presidencia Roque Sáenz Peña,AR,40,0,-26.79,-60.44,72.73,3.78
511,Sunland Park,US,16,1,31.8,-106.58,71.01,4.7
512,Gmina Końskie,PL,1,0,51.19,20.41,46.0,8.93
513,Taltal,CL,64,100,-25.4,-70.48,67.6,6.82
514,Ucluelet,CA,87,20,48.93,-125.55,54.0,6.93
515,Zhanakorgan,KZ,41,35,43.91,67.25,51.01,9.19
516,Beian,NO,80,75,63.66,9.57,41.0,18.34
517,Sertã,PT,67,40,39.81,-8.1,60.8,11.41
518,Narasingāpuram,IN,78,0,13.62,79.33,74.08,2.75
519,Preobrazheniye,RU,80,0,42.9,133.91,35.04,1.72
520,Baker City,US,33,40,44.77,-117.83,55.4,21.92
521,Morón,AR,40,0,-34.65,-58.62,70.0,8.05
522,Agua Verde,MX,32,5,22.9,-106.05,80.6,8.05
523,Eureka,US,82,20,40.8,-124.16,63.0,13.87
524,Mount Gambier,AU,100,90,-37.83,140.77,57.2,5.82
525,Irbeyskoye,RU,75,77,55.64,95.45,47.64,6.22
526,Mandera,KE,11,95,3.94,41.87,80.01,11.12
527,Baykit,RU,83,79,61.67,96.37,36.05,1.32
528,Cabedelo,BR,94,40,-6.98,-34.83,78.8,6.93
529,Matagami,CA,35,75,49.75,-77.63,24.8,12.75
530,The Valley,AI,61,40,18.22,-63.06,87.8,12.75
531,Quthing,LS,41,44,-30.4,27.7,47.84,1.66
532,Issenye,TZ,63,99,-2.0,34.33,65.44,2.42
533,Haukipudas,FI,98,75,65.18,25.35,33.01,2.24
534,Boromlya,UA,72,99,50.62,34.97,38.08,12.24
535,Cedar City,US,18,1,37.68,-113.06,62.6,10.29
536,Maturin,VE,42,62,9.75,-63.18,89.35,9.75
537,Kondoa,TZ,65,70,-4.9,35.78,63.03,4.05
538,Majdanpek,RS,73,14,44.43,21.95,39.0,4.5
539,Dicabisagan,PH,86,68,17.08,122.42,75.92,4.25
540,Kalemie,CD,63,52,-5.95,29.19,72.1,3.31
541,Wajima,JP,80,96,37.4,136.9,46.94,18.88
542,Myaundzha,RU,86,100,63.05,147.19,13.26,1.54
543,Medvedok,RU,80,100,57.39,50.04,47.3,17.49
544,Bagdarin,RU,60,59,54.43,113.6,31.69,3.13
545,Tazovsky,RU,88,0,67.47,78.7,7.68,9.15
546,Kuytun,RU,62,0,54.34,101.5,36.09,4.07
547,Ongandjera,NA,27,0,-17.88,15.07,78.4,6.22
548,Collie,AU,63,0,-33.37,116.15,52.0,2.93
549,Bijapur,IN,50,42,16.83,75.7,79.02,5.3
550,Ajka,HU,56,0,47.1,17.56,48.2,4.7
551,Mandaon,PH,78,98,12.23,123.28,81.7,8.23
552,Russell,US,29,1,32.35,-85.2,68.0,12.75
553,Tiksi,RU,91,100,71.69,128.87,-5.1,9.17
